,Forecast,Lower Bound (95%),Upper Bound (95%)
2465,3689.284141,3628.163145,3750.405137
2466,3688.081232,3601.812795,3774.34967
2467,3689.8385,3584.251047,3795.425954
2468,3695.571736,3573.689919,3817.453554
2469,3694.082919,3557.841792,3830.324045
2470,3699.619168,3550.394131,3848.844205
2471,3702.202102,3541.035794,3863.36841
2472,3702.057168,3529.775289,3874.339047
2473,3703.617069,3520.894566,3886.339572
2474,3700.280602,3507.682626,3892.878578
2475,3702.809141,3500.817935,3904.800347
2476,3702.192372,3491.225753,3913.158992
